segment,name,exchange,isin,instrument_type,instrument_key,lot_size,freeze_quantity,exchange_token,tick_size,symbol,qty_multiplier,security_type,weekly,expiry,asset_symbol,underlying_symbol,minimum_lot,asset_type,underlying_type,strike_price,short_name,asset_key,underlying_key,last_trading_date,price_quote_unit,download_date
NSE_EQ,MARKSANS PHARMA LIMITED,NSE,INE750C01026,EQ,NSE_EQ|INE750C01026,1.0,100000.0,10579,1.0,MARKSANS,1.0,NORMAL,,,,,,,,,Marksans Pharma,,,,,2026-04-17
NSE_EQ,HYBRID FINANCIAL SERVICE,NSE,INE965B01022,EQ,NSE_EQ|INE965B01022,1.0,100000.0,12809,1.0,HYBRIDFIN,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,MAHINDRA HOLIDAYS LTD,NSE,INE998I01010,EQ,NSE_EQ|INE998I01010,1.0,100000.0,17333,1.0,MHRIL,1.0,NORMAL,,,,,,,,,Mahindra Holidays,,,,,2026-04-17
NSE_EQ,ANDHRA CEMENTS LIMITED,NSE,INE666E01020,EQ,NSE_EQ|INE666E01020,1.0,100000.0,15420,1.0,ACL,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,THE GROB TEA COMPANY LTD,NSE,INE646C01018,EQ,NSE_EQ|INE646C01018,1.0,100000.0,17770,5.0,GROBTEA,1.0,NORMAL,,,,,,,,,The Grob Tea Company,,,,,2026-04-17
NSE_EQ,YASHO INDUSTRIES LIMITED,NSE,INE616Z01012,EQ,NSE_EQ|INE616Z01012,1.0,100000.0,18131,10.0,YASHO,1.0,NORMAL,,,,,,,,,Yasho Industries,,,,,2026-04-17
NSE_EQ,THERMAX LTD,NSE,INE152A01029,EQ,NSE_EQ|INE152A01029,1.0,100000.0,3475,10.0,THERMAX,1.0,NORMAL,,,,,,,,,Thermax,,,,,2026-04-17
NSE_EQ,POONAWALLA FINCORP LTD,NSE,INE511C01022,EQ,NSE_EQ|INE511C01022,1.0,100000.0,11403,5.0,POONAWALLA,1.0,NORMAL,,,,,,,,,Poonawalla Fincorp,,,,,2026-04-17
NSE_EQ,GULF OIL LUB. IND. LTD.,NSE,INE635Q01029,EQ,NSE_EQ|INE635Q01029,1.0,100000.0,4391,5.0,GULFOILLUB,1.0,NORMAL,,,,,,,,,Gulf Oil Lubricants,,,,,2026-04-17
NSE_EQ,INDBANK MERCH BANK,NSE,INE841B01017,EQ,NSE_EQ|INE841B01017,1.0,100000.0,16933,1.0,INDBANK,1.0,NORMAL,,,,,,,,,Indbank Merchant Banking,,,,,2026-04-17
NSE_EQ,EQUITAS SMALL FIN BNK LTD,NSE,INE063P01018,EQ,NSE_EQ|INE063P01018,1.0,100000.0,913,1.0,EQUITASBNK,1.0,NORMAL,,,,,,,,,Equitas Small Finance,,,,,2026-04-17
NSE_EQ,GARWARE TECH FIBRES LTD,NSE,INE276A01018,EQ,NSE_EQ|INE276A01018,1.0,100000.0,1100,5.0,GARFIBRES,1.0,NORMAL,,,,,,,,,Garware Tech Fibres,,,,,2026-04-17
NSE_EQ,INDO TECH TRANSFORM LTD.,NSE,INE332H01014,EQ,NSE_EQ|INE332H01014,1.0,100000.0,13275,10.0,INDOTECH,1.0,NORMAL,,,,,,,,,INDO TECH,,,,,2026-04-17
NSE_EQ,PATEL INT. LOG. LTD,NSE,INE529D01014,EQ,NSE_EQ|INE529D01014,1.0,100000.0,15219,1.0,PATINTLOG,1.0,NORMAL,,,,,,,,,PATEL INTEGRATED LOGISTICS,,,,,2026-04-17
NSE_EQ,CARTRADE TECH LIMITED,NSE,INE290S01011,EQ,NSE_EQ|INE290S01011,1.0,100000.0,5407,10.0,CARTRADE,1.0,NORMAL,,,,,,,,,Cartrade Tech,,,,,2026-04-17
NSE_EQ,ALKYL AMINES CHEM. LTD,NSE,INE150B01039,EQ,NSE_EQ|INE150B01039,1.0,100000.0,4487,10.0,ALKYLAMINE,1.0,NORMAL,,,,,,,,,Alkyl Amines Chem,,,,,2026-04-17
NSE_EQ,GRP LIMITED,NSE,INE137I01015,EQ,NSE_EQ|INE137I01015,1.0,100000.0,6543,10.0,GRPLTD,1.0,NORMAL,,,,,,,,,GRP,,,,,2026-04-17
NSE_EQ,INDIAN METALS & FERRO,NSE,INE919H01018,EQ,NSE_EQ|INE919H01018,1.0,100000.0,19235,10.0,IMFA,1.0,NORMAL,,,,,,,,,Indian Metals & Ferro Alloys,,,,,2026-04-17
NSE_EQ,GVP INFOTECH LIMITED,NSE,INE382T01030,EQ,NSE_EQ|INE382T01030,1.0,100000.0,10865,1.0,GVPTECH,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,SBI-ETF GOLD,NSE,INF200KA16D8,EQ,NSE_EQ|INF200KA16D8,1.0,100000.0,17272,1.0,SETFGOLD,1.0,NORMAL,,,,,,,,,SBI-ETF Gold,,,,,2026-04-17
NSE_EQ,MAZAGON DOCK SHIPBUIL LTD,NSE,INE249Z01020,EQ,NSE_EQ|INE249Z01020,1.0,100000.0,509,10.0,MAZDOCK,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,SHYAM CENTURY FERROUS LTD,NSE,INE979R01011,EQ,NSE_EQ|INE979R01011,1.0,100000.0,10188,1.0,SHYAMCENT,1.0,NORMAL,,,,,,,,,Shyam Century Ferrous,,,,,2026-04-17
